node_id,mse_15min,mae_15min,mape_15min,mse_30min,mae_30min,mape_30min,mse_60min,mae_60min,mape_60min
0,35.53956985473633,2.5030927658081055,0.0666670948266983,58.89761734008789,3.240656852722168,0.0960112139582634,92.65547180175781,4.1746368408203125,0.13675831258296967
1,7.8025383949279785,1.5887359380722046,0.027193525806069374,8.397505760192871,1.6411975622177124,0.028250984847545624,8.960407257080078,1.737204909324646,0.029843827709555626
2,18.985509872436523,1.970594882965088,0.04270053654909134,34.45970916748047,2.4583725929260254,0.058366864919662476,73.16007995605469,3.386078357696533,0.08926647901535034
3,27.732738494873047,3.078972101211548,0.0829542949795723,35.29151916503906,3.5109734535217285,0.09922272711992264,45.01690673828125,4.0226850509643555,0.11867114901542664
4,40.70119094848633,4.412079811096191,0.1326388716697693,53.40327835083008,5.017208099365234,0.15823768079280853,75.49589538574219,6.016290664672852,0.19116167724132538
5,44.316795349121094,4.312091827392578,0.10586746037006378,56.8195686340332,5.003790378570557,0.12747198343276978,72.80422973632812,5.894752025604248,0.1523585319519043
6,28.500871658325195,2.9706850051879883,0.069487564265728,39.807865142822266,3.476985454559326,0.08394765108823776,55.016876220703125,4.137910842895508,0.10254624485969543
7,5.81584358215332,1.634700894355774,0.02665371634066105,5.96175479888916,1.6704949140548706,0.027235761284828186,6.217750072479248,1.7350958585739136,0.028260614722967148
8,27.392663955688477,2.7533066272735596,0.07369837164878845,40.092044830322266,3.1077301502227783,0.09495314955711365,51.9031867980957,3.446697950363159,0.11337462067604065
9,45.334022521972656,3.2401123046875,0.1016886755824089,78.84608459472656,4.243631839752197,0.1421002894639969,141.41964721679688,5.906951427459717,0.21049398183822632
10,10.110751152038574,2.041952610015869,0.03608490526676178,11.692963600158691,2.207839012145996,0.03895216062664986,14.135988235473633,2.4869375228881836,0.04363147169351578
11,6.923278331756592,1.5907264947891235,0.026443522423505783,7.717589855194092,1.6757906675338745,0.027973543852567673,8.343544006347656,1.7688214778900146,0.029498979449272156
12,65.23131561279297,3.6674563884735107,0.15302178263664246,120.09580993652344,5.0652971267700195,0.2079101949930191,221.3010711669922,7.5871357917785645,0.30805569887161255
13,26.25258445739746,2.4481632709503174,0.05355026572942734,37.57229232788086,2.857426166534424,0.06663604825735092,51.21204376220703,3.2970476150512695,0.07986094802618027
14,46.308109283447266,4.062442779541016,0.10326920449733734,70.18339538574219,4.7235002517700195,0.13666708767414093,119.78267669677734,5.913821220397949,0.2039242535829544
15,38.62849807739258,4.180124282836914,0.11507950723171234,51.156700134277344,4.835666656494141,0.13658583164215088,73.12757110595703,5.86557674407959,0.16656319797039032
16,7.3740105628967285,1.6707043647766113,0.06397388875484467,8.469427108764648,1.8287394046783447,0.07018735259771347,9.747579574584961,2.0517115592956543,0.07796098291873932
17,31.24866485595703,3.134246349334717,0.07676322013139725,43.324241638183594,3.6917009353637695,0.09423921257257462,54.611976623535156,4.235583305358887,0.11147500574588776
18,12.631555557250977,2.476597785949707,0.04800289496779442,13.284666061401367,2.560377359390259,0.0496632345020771,14.942485809326172,2.753918409347534,0.05323754996061325
19,17.102460861206055,2.5309131145477295,0.054085250943899155,23.334918975830078,2.8891141414642334,0.06265174597501755,34.47065734863281,3.530029773712158,0.07719602435827255
20,32.89323043823242,2.666663408279419,0.06556138396263123,52.092430114746094,3.3672292232513428,0.08958965539932251,78.9173583984375,4.176965236663818,0.11518636345863342
21,12.024078369140625,2.308615207672119,0.04136919230222702,12.580751419067383,2.3766157627105713,0.04245148226618767,14.3298978805542,2.564406394958496,0.04586389660835266
22,17.168285369873047,2.537224531173706,0.07000201940536499,25.508455276489258,3.0420191287994385,0.08828957378864288,39.38246154785156,3.8880209922790527,0.11556199938058853
23,82.14575958251953,4.4545745849609375,0.18476152420043945,126.57791900634766,5.673852920532227,0.270958811044693,191.5214080810547,7.295394420623779,0.38522449135780334
24,17.590463638305664,2.3685338497161865,0.0459185391664505,20.50345230102539,2.5519940853118896,0.05040004104375839,27.670631408691406,2.8393900394439697,0.05745526775717735
25,67.60635375976562,5.41827917098999,0.14433595538139343,98.0647201538086,6.421577453613281,0.18028883635997772,149.845947265625,7.975046634674072,0.2390802651643753
26,48.834285736083984,4.302520751953125,0.1321762204170227,61.89004898071289,4.855877876281738,0.15581510961055756,74.23202514648438,5.607879161834717,0.17923805117607117
27,5.682206153869629,1.6106469631195068,0.026996975764632225,5.903878688812256,1.6553137302398682,0.027717821300029755,6.285627841949463,1.716868281364441,0.02876237966120243
28,20.731822967529297,1.8090742826461792,0.03931942209601402,39.110450744628906,2.2413675785064697,0.057085953652858734,72.9109115600586,2.9317493438720703,0.0813787579536438
29,27.873329162597656,2.809288263320923,0.11928930878639221,41.837284088134766,3.407198667526245,0.16880719363689423,72.82437896728516,4.390988826751709,0.2680915594100952
30,28.11227035522461,3.420121192932129,0.07508338987827301,31.31739616394043,3.5624969005584717,0.08163836598396301,31.838272094726562,3.637399673461914,0.08356300741434097
31,9.286633491516113,1.7124592065811157,0.02851288951933384,9.834964752197266,1.7664976119995117,0.029450977221131325,10.65732479095459,1.8362524509429932,0.030635397881269455
32,20.89117431640625,2.484051465988159,0.050356753170490265,31.256641387939453,2.922011613845825,0.06372346729040146,49.79238510131836,3.5923309326171875,0.08256598562002182
33,23.65546989440918,2.856990337371826,0.0641900822520256,35.003597259521484,3.423109769821167,0.08190257847309113,54.05902862548828,4.185949802398682,0.10350482910871506
34,26.128719329833984,2.501704216003418,0.05318161100149155,36.75695037841797,2.903985023498535,0.06315884739160538,57.846519470214844,3.623782157897949,0.08057155460119247
35,12.8948974609375,2.4119579792022705,0.04311870411038399,13.723896026611328,2.491623640060425,0.04469616711139679,15.846461296081543,2.7240333557128906,0.04897039383649826
36,31.86733055114746,2.4326980113983154,0.05901565030217171,44.7674446105957,2.7373545169830322,0.0745658427476883,56.3006477355957,3.1069467067718506,0.0902150422334671
37,21.362529754638672,2.33939528465271,0.051222607493400574,33.61299133300781,2.811630964279175,0.06336171925067902,52.75214385986328,3.5844712257385254,0.08304577320814133
38,104.70033264160156,5.489680290222168,0.18628112971782684,173.2739715576172,7.125124931335449,0.2628660500049591,271.1359558105469,9.624797821044922,0.37216916680336
39,16.152067184448242,2.4049298763275146,0.050018999725580215,19.623516082763672,2.655670404434204,0.055271219462156296,26.429140090942383,3.0863196849823,0.06465406715869904
40,17.92576026916504,2.2386019229888916,0.050880033522844315,27.573888778686523,2.6827809810638428,0.06359776109457016,48.8782958984375,3.3845808506011963,0.08375905454158783
41,25.860904693603516,2.994781494140625,0.06554347276687622,39.430606842041016,3.827089548110962,0.0837513655424118,59.25425720214844,5.0754594802856445,0.11054269969463348
42,38.44712448120117,3.1450068950653076,0.06833971291780472,53.87300109863281,3.713040828704834,0.08402804285287857,77.39972686767578,4.529667377471924,0.10674149543046951
